SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE PER SQFT,HOA PER MONTH,STATUS,URL,SOURCE,MLS,LATITUDE,LONGITUDE,COMMUTE_NUM_STEPS,COMMUTE,COMMUTE_STEPS,WALKING_TIME,GROCERY_driving,GROCERY_walking,GROCERY_walking_num,ALDI_walking,JEWEL_walking,MARIANO_walking,TRADERJOE_walking,WHOLEFOODS_walking,ALDI_driving,JEWEL_driving,MARIANO_driving,TRADERJOE_driving,WHOLEFOODS_driving,ZILLOW_ID,ZILLOW_URL,LAST_TAX_YEAR,LAST_TAX_ASSESSMENT,ESTIMATED_TAX,LAST_SOLD_DATE,LAST_SOLD_PRICE,ZESTIMATE,ZESTIMATE_LAST_UPDATED,ZESTIMATE_VALUE_CHANGE,ZESTIMATE_RANGE_HIGH,ZESTIMATE_RANGE_LOW
PAST SALE,Townhouse,1315 S Plymouth Ct Unit G,Chicago,IL,60605,489000,2.0,2.0,Near South Side,,,1992.0,6,,90.0,Sold,http://www.redfin.com/IL/Chicago/1315-S-Plymouth-Ct-60605/unit-G/home/14084451,MRED,10560788,41.8655929,-87.628002,3.0,18 mins,"WALKING(7 MINS), RED LINE(8 mins), WALKING(4 MINS)",11.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS","JEWEL, TRADERJOE",2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2082210237.0,http://www.zillow.com/homedetails/1315-S-Plymouth-Ct-UNIT-G-Chicago-IL-60605/2082210237_zpid/,,,10352.13,01/02/2020,489000.0,488326.0,01/26/2020,2379.0,522509.0,454143.0
MLS Listing,Townhouse,2724 W Byron St,Chicago,IL,60618,410000,4.0,2.5,Irving Park,1530.0,1011.0,2008.0,72,268.0,350.0,Active,http://www.redfin.com/IL/Chicago/2724-W-Byron-St-60618/home/18925910,MRED,10557759,41.953482,-87.6967729,5.0,36 mins,"WALKING(1 MIN), BUS80(11 mins), WALKING(1 MIN), RED LINE(15 mins), WALKING(4 MINS)",6.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,87714640.0,http://www.zillow.com/homedetails/2724-W-Byron-St-Chicago-IL-60618/87714640_zpid/,2017.0,35070.0,8679.7,05/29/2015,370000.0,401808.0,01/26/2020,-2584.0,421898.0,381718.0
MLS Listing,Townhouse,719 W Blackhawk St,Chicago,IL,60610,419900,2.0,2.0,Near North Side,,,2004.0,72,,503.0,Contingent,http://www.redfin.com/IL/Chicago/719-W-Blackhawk-St-60610/home/12698687,MRED,10558507,41.907224,-87.64765899999998,3.0,17 mins,"WALKING(8 MINS), RED LINE(5 mins), WALKING(4 MINS)",12.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS","JEWEL, MARIANO, WHOLEFOODS",3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,63697142.0,http://www.zillow.com/homedetails/719-W-Blackhawk-St-Chicago-IL-60610/63697142_zpid/,2017.0,34870.0,8889.283000000001,01/15/2020,400000.0,399747.0,01/26/2020,-9183.0,427729.0,371765.0
MLS Listing,Townhouse,2733 N JANSSEN Ave Unit B,Chicago,IL,60614,649000,3.0,2.0,Lincoln Park,,,1988.0,72,,250.0,Active,http://www.redfin.com/IL/Chicago/2733-N-Greenview-Ave-60614/unit-B/home/13362902,MRED,10557755,41.931937,-87.665184,5.0,33 mins,"WALKING(2 MINS), BUS76(7 mins), WALKING(1 MIN), BUS151(14 mins), WALKING(1 MIN)",4.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS",JEWEL,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2112827548.0,http://www.zillow.com/homedetails/2733-N-Janssen-Ave-B-Chicago-IL-60614/2112827548_zpid/,2017.0,46122.0,13739.330000000002,08/31/2018,630000.0,622757.0,01/26/2020,-11119.0,653895.0,591619.0
MLS Listing,Condo/Co-op,2843 N LINCOLN Ave #108,Chicago,IL,60657,525000,3.0,2.0,Lake View,,,1996.0,2,,353.0,Active,http://www.redfin.com/IL/Chicago/2843-N-Lincoln-Ave-60657/unit-108/home/13363726,MRED,10601094,41.9336692,-87.6597524,4.0,27 mins,"WALKING(7 MINS), BROWN LINE(2 mins), RED LINE(7 mins), WALKING(4 MINS)",11.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3727764.0,http://www.zillow.com/homedetails/2843-N-Lincoln-Ave-APT-108-Chicago-IL-60657/3727764_zpid/,2017.0,1752.0,11114.25,12/03/2010,395000.0,314157.0,01/26/2020,-2547.0,373847.0,241901.0
MLS Listing,Townhouse,1503 S Sangamon St,Chicago,IL,60608,649000,4.0,3.5,Near West Side,2500.0,1922.0,2004.0,76,260.0,345.0,Active,http://www.redfin.com/IL/Chicago/1503-S-Sangamon-St-60608/unit-146/home/12679426,MRED,10553200,41.861562,-87.649661,5.0,37 mins,"WALKING(4 MINS), BUS8(17 mins), WALKING(1 MIN), RED LINE(5 mins), WALKING(4 MINS)",9.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2082303897.0,http://www.zillow.com/homedetails/1503-S-Sangamon-St-Chicago-IL-60608/2082303897_zpid/,,,13739.330000000002,,,633170.0,01/26/2020,2826.0,664828.0,601512.0
MLS Listing,Townhouse,2701 W Riverview Pkwy,Chicago,IL,60618,449000,3.0,2.5,Avondale,2700.0,,2002.0,16,166.0,456.0,Active,http://www.redfin.com/IL/Chicago/2701-W-Riverview-Pkwy-60618/home/12563500,MRED,10595792,41.9407833,-87.6954808,5.0,36 mins,"WALKING(2 MINS), BUS77(11 mins), WALKING(2 MINS), RED LINE(10 mins), WALKING(4 MINS)",8.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS","JEWEL, MARIANO",2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,65544602.0,http://www.zillow.com/homedetails/2701-W-Riverview-Pkwy-Chicago-IL-60618/65544602_zpid/,2017.0,37690.0,9505.33,12/18/2007,465000.0,434452.0,01/26/2020,-6829.0,456175.0,412729.0
PAST SALE,Single Family Residential,11263 S Drake Ave,CHICAGO,IL,60655,256000,3.0,2.0,Mount Greenwood,1030.0,3720.0,1913.0,282,249.0,,Sold,http://www.redfin.com/IL/Chicago/11263-S-Drake-Ave-60655/home/13134963,MRED,10251905,41.687795,-87.70886800000002,5.0,1 hour 7 mins,"WALKING(6 MINS), BUS112(21 mins), WALKING(3 MINS), RED LINE(29 mins), WALKING(4 MINS)",13.0,"ALDI, JEWEL",JEWEL,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4096825.0,http://www.zillow.com/homedetails/11263-S-Drake-Ave-Chicago-IL-60655/4096825_zpid/,2017.0,19195.0,5419.52,03/29/2019,256000.0,256288.0,01/26/2020,2561.0,279354.0,235785.0
PAST SALE,Townhouse,3910 N Fremont St Unit B,CHICAGO,IL,60613,430000,3.0,2.0,Lake View,1500.0,750.0,1993.0,704,287.0,140.0,Sold,http://www.redfin.com/IL/Chicago/3910-N-Fremont-St-60613/unit-B/home/13382491,MRED,9797773,41.953006,-87.652704,3.0,23 mins,"WALKING(4 MINS), RED LINE(15 mins), WALKING(4 MINS)",8.0,"ALDI, JEWEL, MARIANO, TRADERJOE, WHOLEFOODS",WHOLEFOODS,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2082402559.0,http://www.zillow.com/homedetails/3910-N-Fremont-St-APT-G-Chicago-IL-60613/2082402559_zpid/,2017.0,40122.0,9103.1,01/17/2020,450000.0,449767.0,01/26/2020,1374.0,481251.0,418283.0
PAST SALE,Townhouse,5320 N Kenmore Ave Unit I,CHICAGO,IL,60640,295000,2.0,1.5,Edgewater,1060.0,,1996.0,797,278.0,194.0,Sold,http://www.redfin.com/IL/Chicago/5320-N-Kenmore-Ave-60640/unit-I/home/13399567,MRED,9756858,41.9789715,-87.6571219,3.0,16 mins,"WALKING(3 MINS), BUS147(12 mins), WALKING(1 MIN)",4.0,"ALDI, JEWEL, MARIANO, WHOLEFOODS","JEWEL, MARIANO",2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3700895.0,http://www.zillow.com/homedetails/5320-N-Kenmore-Ave-UNIT-I-Chicago-IL-60640/3700895_zpid/,2017.0,22554.0,6245.1500000000015,11/06/2017,295000.0,307052.0,01/26/2020,4142.0,343898.0,276347.0
