SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,1122 Pitner Ave,Evanston,IL,60202,639000,4,2.5,Evanston,2400,4175,2020,9,266,,Active,February-23-2020 02:30 PM,February-23-2020 04:30 PM,http://www.redfin.com/IL/Evanston/1122-Pitner-Ave-60202/home/170571126,MRED,10636945,N,Y,42.0382772,-87.7057802
MLS Listing,,Townhouse,1114 Pitner Ave,Evanston,IL,60202,639000,4,2.5,Evanston,2400,4175,2020,9,266,,Active,February-23-2020 02:30 PM,February-23-2020 04:30 PM,http://www.redfin.com/IL/Evanston/1114-Pitner-Ave-60202/home/13607309,MRED,10636957,N,Y,42.03792,-87.705868
MLS Listing,,Townhouse,1112 Pitner Ave,Evanston,IL,60202,639000,4,2.5,Evanston,2400,4175,2020,9,266,,Active,February-23-2020 02:30 PM,February-23-2020 04:30 PM,http://www.redfin.com/IL/Evanston/1112-Pitner-Ave-60202/home/170571122,MRED,10636950,N,Y,42.037879,-87.7057958
MLS Listing,,Townhouse,8243 Lincoln Ave,Skokie,IL,60077,434900,4,3.5,Skokie,2639,650,2001,9,165,232,Active,,,http://www.redfin.com/IL/Skokie/8243-Lincoln-Ave-60077/home/12632667,MRED,10636647,N,Y,42.030816,-87.754597
MLS Listing,,Townhouse,5747 N Sheridan Rd Unit K,Chicago,IL,60660,465000,3,2.0,Edgewater,2345,,1985,9,198,465,Active,,,http://www.redfin.com/IL/Chicago/5747-N-Sheridan-Rd-60660/unit-K/home/13407843,MRED,10630895,N,Y,41.9868949,-87.6546796
MLS Listing,,Condo/Co-op,2021 N Kedzie Ave Unit 5E,Chicago,IL,60647,409900,2,2.0,Logan Square,1350,,2001,9,304,350,Active,,,http://www.redfin.com/IL/Chicago/2021-N-Kedzie-Ave-60647/unit-5E/home/12720165,MRED,10636393,N,Y,41.918194,-87.706405
MLS Listing,,Townhouse,1519 W Harrison St,Chicago,IL,60607,549000,3,2.5,Near West Side,,1278,1989,9,,460,Active,February-22-2020 02:00 PM,February-22-2020 04:00 PM,http://www.redfin.com/IL/Chicago/1519-W-Harrison-St-60607/home/14089316,MRED,10636372,N,Y,41.873856,-87.664989
MLS Listing,,Condo/Co-op,1520 N SEDGWICK St Unit 2A,Chicago,IL,60610,530000,3,2.0,Near North Side,1950,,2004,9,272,331,Active,February-23-2020 11:00 AM,February-23-2020 01:00 PM,http://www.redfin.com/IL/Chicago/1520-N-Sedgwick-St-60610/unit-2A/home/12650190,MRED,10636363,N,Y,41.9099769,-87.6388973
MLS Listing,,Townhouse,612 S Laflin St Unit E,Chicago,IL,60607,525000,3,2.5,Near West Side,2300,1500,1985,9,228,440,Active,,,http://www.redfin.com/IL/Chicago/612-S-Laflin-St-60607/unit-E/home/169080068,MRED,10636328,N,Y,41.8734528,-87.6644206
MLS Listing,,Condo/Co-op,956 N LEAVITT St #2,Chicago,IL,60622,419000,2,2.0,West Town,1250,,2004,9,335,148,Active,February-23-2020 11:00 AM,February-23-2020 12:30 PM,http://www.redfin.com/IL/Chicago/956-N-Leavitt-St-60622/unit-2/home/12564574,MRED,10636326,N,Y,41.8992457,-87.682356
MLS Listing,,Condo/Co-op,2245 W ROSCOE St #2,Chicago,IL,60618,450000,2,2.0,North Center,1300,,2007,9,346,150,Active,February-23-2020 02:00 PM,February-23-2020 03:30 PM,http://www.redfin.com/IL/Chicago/2245-W-Roscoe-St-60618/unit-2/home/26807990,MRED,10620381,N,Y,41.9428644,-87.6851147
MLS Listing,,Single Family Residential,2569 S Hillock Ave,Chicago,IL,60608,639000,5,3.5,Bridgeport,2960,98598,2020,10,216,,Active,February-23-2020 11:00 AM,February-23-2020 01:00 PM,http://www.redfin.com/IL/Chicago/2569-S-Hillock-Ave-60608/home/170565569,MRED,10636100,N,Y,41.8467082,-87.6511981
MLS Listing,,Condo/Co-op,838 N Winchester Ave #3,Chicago,IL,60622,649000,3,2.0,West Town,1900,,2004,10,342,128,Active,,,http://www.redfin.com/IL/Chicago/838-N-Winchester-Ave-60622/unit-3/home/12667831,MRED,10636051,N,Y,41.8970599,-87.6762017
MLS Listing,,Condo/Co-op,4770 N MANOR Ave #202,Chicago,IL,60625,395000,2,2.5,Albany Park,1550,,2006,10,255,482,Active,,,http://www.redfin.com/IL/Chicago/4770-N-Manor-Ave-60625/unit-202/home/18943464,MRED,10635929,N,Y,41.9682282,-87.7030723
MLS Listing,,Condo/Co-op,3121 N Orchard St Unit 3S,Chicago,IL,60657,649000,3,2.0,Lake View,1800,,1999,10,361,356,Active,,,http://www.redfin.com/IL/Chicago/3121-N-Orchard-St-60657/unit-3S/home/12774398,MRED,10628486,N,Y,41.9385193,-87.6465323
MLS Listing,,Condo/Co-op,2451 N Clybourn Ave #9,Chicago,IL,60614,525000,3,3.0,Lincoln Park,2200,,2001,10,239,408,Active,February-23-2020 11:00 AM,February-23-2020 01:00 PM,http://www.redfin.com/IL/Chicago/2451-N-Clybourn-Ave-60614/unit-9/home/12772374,MRED,10635656,N,Y,41.9265392,-87.6706778
MLS Listing,,Condo/Co-op,2851 N ASHLAND Ave #3,Chicago,IL,60657,640000,3,3.0,Lake View,2160,,2012,10,296,250,Active,,,http://www.redfin.com/IL/Chicago/2851-N-Ashland-Ave-60657/unit-3/home/170561354,MRED,10635563,N,Y,41.933908,-87.668064
MLS Listing,,Condo/Co-op,3051 W Armitage Ave Unit 4W,Chicago,IL,60647,524000,3,2.0,Logan Square,1675,,2019,10,313,177,Active,February-23-2020 01:00 PM,February-23-2020 02:30 PM,http://www.redfin.com/IL/Chicago/3051-W-Armitage-Ave-60647/unit-4W/home/166649286,MRED,10635490,N,Y,41.9172809,-87.7044449
MLS Listing,,Condo/Co-op,3051 W Armitage Ave #1,Chicago,IL,60647,419000,3,2.0,Logan Square,1523,,2019,10,275,130,Active,February-23-2020 01:00 PM,February-23-2020 02:30 PM,http://www.redfin.com/IL/Chicago/3051-W-Armitage-Ave-60647/unit-1/home/148582285,MRED,10635492,N,Y,41.9172809,-87.7044449
MLS Listing,,Condo/Co-op,211 S Hamilton Ave #3,Chicago,IL,60612,639000,4,3.0,Near West Side,2600,,2019,10,246,318,Active,February-23-2020 11:00 AM,February-23-2020 12:30 PM,http://www.redfin.com/IL/Chicago/211-S-Hamilton-Ave-60612/unit-3/home/168914676,MRED,10635493,N,Y,41.8782869,-87.6799795
MLS Listing,,Condo/Co-op,3048 N Oakley Ave Unit 3N,Chicago,IL,60618,424900,2,2.0,North Center,1250,,2004,10,340,216,Active,,,http://www.redfin.com/IL/Chicago/3048-N-Oakley-Ave-60618/unit-3N/home/12631902,MRED,10635208,N,Y,41.937231,-87.68592
MLS Listing,,Condo/Co-op,469 N GREEN St #2,Chicago,IL,60642,475000,2,2.0,West Town,1500,,1998,10,317,231,Active,February-23-2020 01:00 PM,February-23-2020 03:00 PM,http://www.redfin.com/IL/Chicago/469-N-Green-St-60642/unit-2/home/12713970,MRED,10635201,N,Y,41.891005,-87.648473
MLS Listing,,Townhouse,2722 W Dakin St,Chicago,IL,60618,569000,4,2.5,Irving Park,2159,2170,2008,10,264,350,Active,,,http://www.redfin.com/IL/Chicago/2722-W-Dakin-St-60618/unit-9/home/18923109,MRED,10635190,N,Y,41.9537509,-87.696673
MLS Listing,,Condo/Co-op,675 N PEORIA St Unit 3N,Chicago,IL,60642,509900,2,2.0,West Town,1500,,2006,10,340,250,Active,February-23-2020 12:00 PM,February-23-2020 02:00 PM,http://www.redfin.com/IL/Chicago/675-N-Peoria-St-60642/unit-3N/home/26812855,MRED,10635164,N,Y,41.8943819,-87.6498489
MLS Listing,,Condo/Co-op,1012 N Honore St #3,Chicago,IL,60622,635000,2,2.0,West Town,1300,3125,2015,10,488,185,Active,February-23-2020 12:00 PM,February-23-2020 02:00 PM,http://www.redfin.com/IL/Chicago/1012-N-Honore-St-60622/unit-3/home/144508307,MRED,10635155,N,Y,41.9000617,-87.6737741
MLS Listing,,Condo/Co-op,1034 W Monroe St,Chicago,IL,60607,625000,2,2.0,Near West Side,1842,9999,1997,10,339,252,Active,,,http://www.redfin.com/IL/Chicago/1034-W-Monroe-St-60607/unit-1304/home/12814823,MRED,10635132,N,Y,41.8805154,-87.6534064
MLS Listing,,Condo/Co-op,2829 W Lawrence Ave #1,Chicago,IL,60625,379000,3,3.0,Lincoln Square,1800,,2001,11,211,200,Active,February-23-2020 12:00 PM,February-23-2020 01:30 PM,http://www.redfin.com/IL/Chicago/2829-W-Lawrence-Ave-60625/unit-1/home/12755346,MRED,10634534,N,Y,41.9682629,-87.6997205
MLS Listing,,Condo/Co-op,847 W Bradley Pl Unit 3F,Chicago,IL,60613,649900,3,2.5,Lake View,1800,,2004,11,361,350,Active,,,http://www.redfin.com/IL/Chicago/847-W-Bradley-Pl-60613/unit-3F/home/12671575,MRED,10634268,N,Y,41.9498074,-87.6514257
MLS Listing,,Condo/Co-op,948 N Winchester Ave #3,Chicago,IL,60622,569000,2,2.0,West Town,1300,,2003,11,438,115,Active,February-23-2020 10:30 AM,February-23-2020 12:30 PM,http://www.redfin.com/IL/Chicago/948-N-Winchester-Ave-60622/unit-3/home/12656756,MRED,10634175,N,Y,41.899185,-87.6762641
MLS Listing,,Condo/Co-op,2814 N Sheffield Ave Unit 2S,Chicago,IL,60657,524900,3,2.0,Lake View,1555,,1998,11,338,238,Active,,,http://www.redfin.com/IL/Chicago/2814-N-Sheffield-Ave-60657/unit-2S/home/144958526,MRED,10634108,N,Y,41.9331585,-87.654221
MLS Listing,,Condo/Co-op,4603 N Racine Ave #202,Chicago,IL,60640,399000,3,2.0,Uptown,1780,,2003,11,224,448,Active,,,http://www.redfin.com/IL/Chicago/4603-N-Racine-Ave-60640/unit-202/home/12686053,MRED,10634066,N,Y,41.9656297,-87.6593823
MLS Listing,,Condo/Co-op,2222 W Belmont Ave #501,Chicago,IL,60618,495000,3,2.0,North Center,1590,,2005,11,311,351,Active,,,http://www.redfin.com/IL/Chicago/2222-W-Belmont-Ave-60618/unit-501/home/12613110,MRED,10585089,N,Y,41.9397785,-87.6841769
MLS Listing,,Condo/Co-op,2210 W Chicago Ave Unit 3W,Chicago,IL,60622,600000,3,2.0,West Town,1650,,2016,11,364,336,Active,,,http://www.redfin.com/IL/Chicago/2210-W-Chicago-Ave-60622/unit-3W/home/97845500,MRED,10633918,N,Y,41.8959936,-87.682498
MLS Listing,,Condo/Co-op,1744 W Belmont Ave #2,Chicago,IL,60657,459900,2,2.0,Lake View,,,2002,12,,250,Active,,,http://www.redfin.com/IL/Chicago/1744-W-Belmont-Ave-60657/unit-2/home/12701047,MRED,10633651,N,Y,41.9399012,-87.6728536
MLS Listing,,Condo/Co-op,1506 W GRAND Ave Unit 2E,Chicago,IL,60642,449900,2,2.0,West Town,1400,,2003,12,321,281,Active,,,http://www.redfin.com/IL/Chicago/1506-W-Grand-Ave-60642/unit-2E/home/12659248,MRED,10633413,N,Y,41.8912445,-87.6658613
MLS Listing,,Townhouse,8649 CALLIE Ave Unit A-B-C,Morton Grove,IL,60053,475000,3,3.5,Morton Grove,2750,3720,2018,12,173,100,Active,,,http://www.redfin.com/IL/Morton-Grove/8649-Callie-Ave-60053/unit-A-B-C/home/166939458,MRED,10633317,N,Y,42.0390879,-87.7833852
MLS Listing,,Condo/Co-op,1201 W Adams St #711,Chicago,IL,60607,568000,2,2.0,Near West Side,1350,,2002,12,421,489,Active,,,http://www.redfin.com/IL/Chicago/1201-W-Adams-St-60607/unit-711/home/12694166,MRED,10633193,N,Y,41.8788023,-87.6573949
MLS Listing,,Condo/Co-op,1467 W Erie St #3,Chicago,IL,60642,575000,3,3.0,West Town,2200,,2000,12,261,268,Active,,,http://www.redfin.com/IL/Chicago/1467-W-Erie-St-60642/unit-3/home/12791185,MRED,10633068,N,Y,41.8931127,-87.664914
MLS Listing,,Townhouse,3344 S Justine St,Chicago,IL,60608,435000,4,3.5,McKinley Park,2300,,2018,12,189,150,Active,,,http://www.redfin.com/IL/Chicago/3344-S-Justine-St-60608/home/143429416,MRED,10632998,N,Y,41.8328703,-87.6644857
MLS Listing,,Condo/Co-op,1363 N Mohawk St #3,Chicago,IL,60610,610000,3,2.0,Near North Side,1700,,2000,12,359,215,Active,February-23-2020 12:00 PM,February-23-2020 02:00 PM,http://www.redfin.com/IL/Chicago/1363-N-Mohawk-St-60610/unit-3/home/144958374,MRED,10632890,N,Y,41.9073176,-87.6418298
MLS Listing,,Townhouse,2508 N Bosworth Ave,Chicago,IL,60614,559000,2,2.5,Lincoln Park,1600,1600,1994,12,349,,Active,,,http://www.redfin.com/IL/Chicago/2508-N-Bosworth-Ave-60614/home/13361574,MRED,10632871,N,Y,41.9272901,-87.6672256
MLS Listing,,Townhouse,8211 Lincoln Ave,Skokie,IL,60077,409000,3,2.5,Skokie,2310,2040,2001,12,177,232,Active,,,http://www.redfin.com/IL/Skokie/8211-Lincoln-Ave-60077/home/12707997,MRED,10632868,N,Y,42.030563,-87.754482
MLS Listing,,Single Family Residential,4049 S Ellis Ave,Chicago,IL,60653,415000,4,3.5,Oakland,,3349,1994,12,,50,Active,,,http://www.redfin.com/IL/Chicago/4049-S-Ellis-Ave-60653/home/12815323,MRED,10632850,N,Y,41.8207722,-87.6024352
MLS Listing,,Condo/Co-op,1718 W Diversey Pkwy #3,Chicago,IL,60614,515000,3,2.0,Lake View,2310,,2004,12,223,259,Active,February-22-2020 02:30 PM,February-22-2020 04:00 PM,http://www.redfin.com/IL/Chicago/1718-W-Diversey-Pkwy-60614/unit-3/home/12667226,MRED,10632814,N,Y,41.9326365,-87.6715938
MLS Listing,,Condo/Co-op,3044 N Oakley Ave #3,Chicago,IL,60618,424999,2,2.0,North Center,1300,,2004,12,327,214,Active,,,http://www.redfin.com/IL/Chicago/3044-N-Oakley-Ave-60618/unit-3/home/170563324,MRED,10632745,N,Y,41.937093,-87.685917
MLS Listing,,Condo/Co-op,434 W BRIAR Pl #8,Chicago,IL,60657,649500,3,2.5,Lake View,2400,,1985,12,271,317,Active,,,http://www.redfin.com/IL/Chicago/434-W-Briar-Pl-60657/unit-8/home/13372422,MRED,10632623,N,Y,41.9389841,-87.6409962
MLS Listing,,Condo/Co-op,1455 W Thomas St Unit 1E,Chicago,IL,60642,649000,3,3.0,West Town,2400,,2005,13,270,295,Active,,,http://www.redfin.com/IL/Chicago/1455-W-Thomas-St-60642/unit-1E/home/12589597,MRED,10632494,N,Y,41.901308,-87.664677
MLS Listing,,Condo/Co-op,3503 N Sheffield Ave Unit 3N,Chicago,IL,60657,499900,2,2.0,Lake View,1350,,2004,13,370,266,Active,,,http://www.redfin.com/IL/Chicago/3503-N-Sheffield-Ave-60657/unit-3N/home/144936696,MRED,10632349,N,Y,41.945549,-87.653942
MLS Listing,,Condo/Co-op,2020 W Rice St Unit G,Chicago,IL,60622,379000,2,2.0,West Town,1500,,2004,14,253,173,Active,,,http://www.redfin.com/IL/Chicago/2020-W-Rice-St-60622/unit-G/home/18932271,MRED,10632239,N,Y,41.8970451,-87.6779341
MLS Listing,,Condo/Co-op,1819 S Michigan Ave #601,Chicago,IL,60616,370000,2,2.0,Near South Side,1299,,2006,14,285,432,Active,,,http://www.redfin.com/IL/Chicago/1819-S-Michigan-Ave-60616/unit-601/home/26821358,MRED,10632118,N,Y,41.857285,-87.623462
MLS Listing,,Townhouse,519 CHICAGO Ave Unit G,Evanston,IL,60202,489000,3,2.5,Evanston,2562,798,2003,14,191,285,Active,,,http://www.redfin.com/IL/Evanston/519-Chicago-Ave-60202/unit-G/home/12673998,MRED,10632041,N,Y,42.027673,-87.677839
MLS Listing,,Townhouse,4228 W Harrington Ln,Chicago,IL,60646,425000,2,2.5,Forest Glen,,,1990,15,,300,Active,,,http://www.redfin.com/IL/Chicago/4228-Harrington-Ln-60646/home/13512409,MRED,10631431,N,Y,41.9897575,-87.7348245
MLS Listing,,Condo/Co-op,2755 W Lawrence Ave Unit 2W,Chicago,IL,60625,509000,3,2.0,Lincoln Square,1700,,2020,15,299,205,Active,February-23-2020 02:00 PM,February-23-2020 03:30 PM,http://www.redfin.com/IL/Chicago/2755-W-Lawrence-Ave-60625/unit-2W/home/170519906,MRED,10631337,N,Y,41.9684607,-87.6984165
MLS Listing,,Townhouse,3466 W Belmont Ave Unit N,Chicago,IL,60618,379900,2,2.0,Avondale,1565,,2001,15,243,150,Active,,,http://www.redfin.com/IL/Chicago/3466-W-Belmont-Ave-60618/unit-N/home/170597124,MRED,10631266,N,Y,41.9393857,-87.7151631
MLS Listing,,Single Family Residential,4340 W HIGHLAND Ave,Chicago,IL,60646,599900,4,3.5,Forest Glen,2314,4647,1998,15,259,,Active,,,http://www.redfin.com/IL/Chicago/4340-W-Highland-Ave-60646/home/13515273,MRED,10631037,N,Y,41.9964508,-87.7378359
MLS Listing,,Condo/Co-op,2733 N LINCOLN Ave Unit F,Chicago,IL,60614,589500,3,3.0,Lincoln Park,1700,,1998,15,347,353,Active,,,http://www.redfin.com/IL/Chicago/2733-N-Lincoln-Ave-60614/unit-F/home/12741138,MRED,10631012,N,Y,41.9315486,-87.6569172
MLS Listing,,Townhouse,16 S Aberdeen St #9,Chicago,IL,60607,,3,2.5,Near West Side,1613,855,2007,15,,,Active,,,http://www.redfin.com/IL/Chicago/16-S-Aberdeen-St-60607/unit-9/home/12577086,MRED,10630926,N,Y,41.881066,-87.6553288
MLS Listing,,Condo/Co-op,1016 S RACINE Ave #302,Chicago,IL,60607,599900,3,2.0,Near West Side,2300,,2006,15,261,251,Active,,,http://www.redfin.com/IL/Chicago/1016-S-Racine-Ave-60607/unit-302/home/18933702,MRED,10619351,N,Y,41.8688415,-87.6570324
MLS Listing,,Townhouse,1806 W Argyle St Unit I,Chicago,IL,60640,525000,3,2.5,Lincoln Square,2100,,1999,16,250,395,Active,February-23-2020 11:00 AM,February-23-2020 01:00 PM,http://www.redfin.com/IL/Chicago/1806-W-Argyle-St-60640/unit-I/home/12673656,MRED,10630433,N,Y,41.9726814,-87.6748719
MLS Listing,,Townhouse,1414 W Fillmore St,Chicago,IL,60607,519900,2,2.0,Near West Side,,889,2000,16,,90,Active,,,http://www.redfin.com/IL/Chicago/1414-W-Fillmore-St-60607/home/12815003,MRED,10630367,N,Y,41.8686928,-87.6622889
MLS Listing,,Condo/Co-op,1330 N La Salle Dr #313,Chicago,IL,60610,575000,3,2.5,Near North Side,,,1980,16,,435,Active,February-23-2020 11:00 AM,February-23-2020 12:30 PM,http://www.redfin.com/IL/Chicago/1330-N-LaSalle-Dr-60610/unit-313/home/14112662,MRED,10630114,N,Y,41.9066285,-87.6334964
MLS Listing,,Condo/Co-op,2622 W Cortez St #1,Chicago,IL,60622,525000,3,2.5,West Town,2220,,2006,16,236,204,Active,,,http://www.redfin.com/IL/Chicago/2622-W-Cortez-St-60622/unit-1/home/40378071,MRED,10630095,N,Y,41.9004935,-87.6928044
MLS Listing,,Condo/Co-op,1440 S Wabash Ave #301,Chicago,IL,60605,450000,3,2.0,Near South Side,1435,,2009,16,314,327,Active,,,http://www.redfin.com/IL/Chicago/1440-S-Wabash-Ave-60605/unit-301/home/13015430,MRED,10630089,N,Y,41.8628991,-87.6260155
MLS Listing,,Townhouse,1825 Wilmette Ave Unit C,Wilmette,IL,60091,430000,3,3.5,Wilmette,2000,,1998,16,215,225,Active,,,http://www.redfin.com/IL/Wilmette/1825-Wilmette-Ave-60091/unit-C/home/13777667,MRED,10630012,N,Y,42.071855,-87.7218709
MLS Listing,,Townhouse,3234 S Shields Ave,Chicago,IL,60616,499000,4,3.5,Armour Square,2600,1092,2020,16,192,107,Active,,,http://www.redfin.com/IL/Chicago/3234-S-Shields-Ave-60616/home/170506844,MRED,10629727,N,Y,41.8353412,-87.6356014
MLS Listing,,Condo/Co-op,2628 N Wayne Ave Unit 2S,Chicago,IL,60614,599000,2,2.0,Lincoln Park,1250,,2016,16,479,225,Active,,,http://www.redfin.com/IL/Chicago/2628-N-Wayne-Ave-60614/unit-2S/home/144509732,MRED,10629663,N,Y,41.929774,-87.662595
MLS Listing,,Condo/Co-op,2442 W Thomas St #1,Chicago,IL,60622,565000,3,2.5,West Town,2108,,2016,16,268,273,Active,,,http://www.redfin.com/IL/Chicago/2442-W-Thomas-St-60622/unit-1/home/104494495,MRED,10629549,N,Y,41.901361,-87.6887463
MLS Listing,,Condo/Co-op,2315 W Wabansia Ave Unit 3NE,Chicago,IL,60647,575000,2,2.5,West Town,1500,,2002,16,383,265,Active,,,http://www.redfin.com/IL/Chicago/2315-W-Wabansia-Ave-60647/unit-3NE/home/12636447,MRED,10629557,N,Y,41.9123411,-87.6855234
MLS Listing,,Condo/Co-op,1203 W Superior St Unit 3C,Chicago,IL,60642,609000,3,2.0,West Town,1500,,2019,17,406,127,Active,February-23-2020 12:00 PM,February-23-2020 02:00 PM,http://www.redfin.com/IL/Chicago/1203-W-Superior-St-60642/unit-3C/home/168960394,MRED,10629302,N,Y,41.8950207,-87.6577247
MLS Listing,,Condo/Co-op,2707 N HALSTED St #3,Chicago,IL,60614,649900,2,2.0,Lincoln Park,1800,,1987,17,361,128,Active,,,http://www.redfin.com/IL/Chicago/2707-N-Halsted-St-60614/unit-3/home/13369147,MRED,10629174,N,Y,41.9318061,-87.6486016
MLS Listing,,Condo/Co-op,214 S Hamilton Ave Unit 1N,Chicago,IL,60612,549900,3,2.5,Near West Side,2600,,2003,17,212,327,Active,,,http://www.redfin.com/IL/Chicago/214-S-Hamilton-Ave-60612/unit-1N/home/39930347,MRED,10628953,N,Y,41.8781218,-87.680505
MLS Listing,,Condo/Co-op,3511 N Wilton Ave #4,Chicago,IL,60657,534900,2,2.0,Lake View,1500,,2000,17,357,220,Active,,,http://www.redfin.com/IL/Chicago/3511-N-Wilton-Ave-60657/unit-4/home/12742539,MRED,10628905,N,Y,41.9458096,-87.6527224
MLS Listing,,Condo/Co-op,2712 N Lehmann Ct Unit 3S,Chicago,IL,60614,530000,2,2.0,Lincoln Park,1600,,2008,17,331,285,Active,February-23-2020 12:00 PM,February-23-2020 01:30 PM,http://www.redfin.com/IL/Chicago/2712-N-Lehmann-Ct-60614/unit-3S/home/18939143,MRED,10628780,N,Y,41.9319362,-87.6438165
MLS Listing,,Townhouse,1152 N Hudson Ave,Chicago,IL,60610,650000,3,3.5,Near North Side,2114,,2007,17,307,330,Active,,,http://www.redfin.com/IL/Chicago/1152-N-Hudson-Ave-60610/unit-9-106/home/26794466,MRED,10628632,N,Y,41.903135,-87.6414633
MLS Listing,,Condo/Co-op,2259 W WABANSIA Ave #209,Chicago,IL,60647,650000,3,2.0,West Town,1500,,2005,17,433,449,Active,February-23-2020 12:30 PM,February-23-2020 02:00 PM,http://www.redfin.com/IL/Chicago/2259-W-Wabansia-Ave-60647/unit-209/home/12621572,MRED,10617293,N,Y,41.9123545,-87.6843466
MLS Listing,,Condo/Co-op,800 Elgin Rd #601,Evanston,IL,60201,585000,3,2.0,Evanston,1638,,2004,17,357,84,Active,,,http://www.redfin.com/IL/Evanston/800-Elgin-Rd-60201/unit-601/home/12639391,MRED,10623760,N,Y,42.0505052,-87.6826708
MLS Listing,,Townhouse,241 E 33rd St,Chicago,IL,60616,599000,4,3.5,Douglas,2550,1564,2020,17,235,,Active,February-23-2020 12:00 PM,February-23-2020 03:00 PM,http://www.redfin.com/IL/Chicago/241-E-33rd-St-60616/unit-241/home/169384403,MRED,10628088,N,Y,41.834742,-87.6173719
MLS Listing,,Townhouse,860 N Elston Ave #3,Chicago,IL,60642,624900,3,3.0,West Town,2100,1015,1998,18,298,100,Active,February-23-2020 11:00 AM,February-23-2020 01:00 PM,http://www.redfin.com/IL/Chicago/860-N-Elston-Ave-60642/unit-3/home/12768006,MRED,10615411,N,Y,41.8979123,-87.656773
MLS Listing,,Condo/Co-op,2800 W North Ave #202,Chicago,IL,60647,384000,2,2.0,West Town,1400,,2009,18,274,345,Active,February-23-2020 12:00 PM,February-23-2020 02:00 PM,http://www.redfin.com/IL/Chicago/2800-W-North-Ave-60647/unit-202/home/40374934,MRED,10606323,N,Y,41.9106027,-87.6972083
MLS Listing,,Condo/Co-op,844 N California Ave #2,Chicago,IL,60622,560000,3,2.5,West Town,1800,,2019,18,311,134,Active,,,http://www.redfin.com/IL/Chicago/844-N-California-Ave-60622/unit-2/home/170113566,MRED,10627478,N,Y,41.8970375,-87.6969911
MLS Listing,,Condo/Co-op,1457 N Maplewood Ave Unit 1W,Chicago,IL,60622,415000,2,2.5,West Town,1600,,2003,18,259,305,Active,,,http://www.redfin.com/IL/Chicago/1457-N-Maplewood-Ave-60622/unit-1W/home/12672338,MRED,10578767,N,Y,41.9082995,-87.6907128
MLS Listing,,Condo/Co-op,4525 W Irving Park Rd,Chicago,IL,60641,389900,4,3.5,Irving Park,2508,,2008,18,155,160,Active,,,http://www.redfin.com/IL/Chicago/4525-W-Irving-Park-Rd-60641/home/18943300,MRED,10627200,N,Y,41.953254,-87.74154
MLS Listing,,Condo/Co-op,1751 W Division St Unit 4W,Chicago,IL,60622,485000,2,2.0,West Town,1459,,2001,18,332,408,Active,,,http://www.redfin.com/IL/Chicago/1751-W-Division-St-60622/unit-4W/home/12714740,MRED,10627114,N,Y,41.903033,-87.6719135
MLS Listing,,Townhouse,239 E 33rd St,Chicago,IL,60616,619000,4,3.5,Douglas,2600,1564,2020,18,238,,Active,February-23-2020 12:00 PM,February-23-2020 03:00 PM,http://www.redfin.com/IL/Chicago/239-E-33rd-St-60616/home/13272367,MRED,10626944,N,Y,41.834742,-87.6173719
MLS Listing,,Townhouse,2160 W Bowler St,Chicago,IL,60612,539000,3,3.0,Near West Side,2000,,1997,19,270,,Active,,,http://www.redfin.com/IL/Chicago/2160-W-Bowler-St-60612/home/14088069,MRED,10626856,N,Y,41.8707569,-87.6804774
MLS Listing,,Condo/Co-op,1041 N Leavitt St #1,Chicago,IL,60622,564900,2,2.5,West Town,2074,,2000,19,272,180,Active,February-23-2020 12:00 PM,February-23-2020 02:00 PM,http://www.redfin.com/IL/Chicago/1041-N-Leavitt-St-60622/unit-1/home/170490251,MRED,10626685,N,Y,41.9006882,-87.6817855
MLS Listing,,Condo/Co-op,4048 N CLARK St Unit C,Chicago,IL,60613,460000,2,2.5,Lake View,,,1998,19,,190,Active,,,http://www.redfin.com/IL/Chicago/4048-N-Clark-St-60613/unit-C/home/12743534,MRED,10626458,N,Y,41.9558109,-87.6633952
MLS Listing,,Townhouse,3900 N Fremont St Unit H,Chicago,IL,60613,485000,3,2.0,Lake View,1500,500,1995,19,323,150,Active,,,http://www.redfin.com/IL/Chicago/3900-N-Fremont-St-60613/unit-H/home/13383720,MRED,10626434,N,Y,41.952863,-87.652694
MLS Listing,,Single Family Residential,1320 Highland Ave,Berwyn,IL,60402,375000,3,3.0,Berwyn,,5079,2009,19,,,Active,,,http://www.redfin.com/IL/Berwyn/1320-Highland-Ave-60402/home/13242488,MRED,10626348,N,Y,41.8627221,-87.7816559
MLS Listing,,Townhouse,3301 S Prairie Ave,Chicago,IL,60616,629000,4,3.5,Douglas,2600,1564,2020,19,242,,Active,February-23-2020 12:00 PM,February-23-2020 03:00 PM,http://www.redfin.com/IL/Chicago/3301-S-Prairie-Ave-60616/home/26775924,MRED,10423225,N,Y,41.8347248,-87.6206206
