SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6535 Albert St,Morton Grove,IL,60053,589000,5,3.0,Morton Grove,3436,10152,1980,2,171,25,Active,February-23-2020 12:00 PM,February-23-2020 04:00 PM,http://www.redfin.com/IL/Morton-Grove/6535-Albert-St-60053/home/13618890,MRED,10643401,N,Y,42.0483416,-87.7902247
MLS Listing,,Condo/Co-op,1048 N WOLCOTT Ave #1,Chicago,IL,60622,610000,3,2.5,West Town,2200,,2001,2,277,185,Active,,,http://www.redfin.com/IL/Chicago/1048-N-Wolcott-Ave-60622/unit-1/home/12680935,MRED,10643351,N,Y,41.9010222,-87.6750879
MLS Listing,,Single Family Residential,3142 S Stewart Ave,Chicago,IL,60616,549000,3,3.5,Bridgeport,3000,2500,2007,2,183,,Active,,,http://www.redfin.com/IL/Chicago/3142-S-Stewart-Ave-60616/home/12635421,MRED,10643321,N,Y,41.8368891,-87.6361985
MLS Listing,,Single Family Residential,4032 N ST LOUIS Ave,Chicago,IL,60618,625000,4,3.5,Irving Park,3150,3136,2005,2,198,,Active,February-23-2020 01:00 PM,February-23-2020 03:00 PM,http://www.redfin.com/IL/Chicago/4032-N-St-Louis-Ave-60618/home/13482704,MRED,10643270,N,Y,41.9548283,-87.7156337
MLS Listing,,Condo/Co-op,1038 N Marshfield Ave #1,Chicago,IL,60622,589999,3,3.0,West Town,2500,,1997,2,236,265,Active,February-23-2020 11:00 AM,February-23-2020 01:00 PM,http://www.redfin.com/IL/Chicago/1038-N-Marshfield-Ave-60622/unit-1/home/12815608,MRED,10643183,N,Y,41.9008493,-87.6689938
MLS Listing,,Condo/Co-op,2515 W Chicago Ave #4,Chicago,IL,60622,599000,3,2.0,West Town,1700,,2013,2,352,237,Active,February-23-2020 01:00 PM,February-23-2020 03:00 PM,http://www.redfin.com/IL/Chicago/2515-W-Chicago-Ave-60622/unit-4/home/40953142,MRED,10642877,N,Y,41.8954658,-87.6899881
MLS Listing,,Condo/Co-op,3026 N Seminary Ave #3,Chicago,IL,60657,459000,2,2.0,Lake View,1275,,1999,2,360,106,Active,,,http://www.redfin.com/IL/Chicago/3026-N-Seminary-Ave-60657/unit-3/home/12772434,MRED,10642663,N,Y,41.9371091,-87.6567919
MLS Listing,,Condo/Co-op,2755 W Lawrence Ave Unit 3E,Chicago,IL,60625,589000,3,2.0,Lincoln Square,1850,,2020,2,318,249,Active,February-23-2020 02:00 PM,February-23-2020 03:30 PM,http://www.redfin.com/IL/Chicago/2755-W-Lawrence-Ave-60625/unit-3E/home/170601831,MRED,10642476,N,Y,41.9684607,-87.6984165
MLS Listing,,Condo/Co-op,2309 W Belmont Ave,Chicago,IL,60618,625000,3,2.0,North Center,1830,,2018,2,342,259,Active,,,http://www.redfin.com/IL/Chicago/2309-W-Belmont-Ave-60618/unit-2/home/160312881,MRED,10642423,N,Y,41.9392835,-87.6860628
MLS Listing,,Condo/Co-op,1937 W DIVERSEY Pkwy Unit 3C,Chicago,IL,60614,450000,2,2.5,Lincoln Park,1275,,2009,2,353,284,Active,February-23-2020 12:00 PM,February-23-2020 02:00 PM,http://www.redfin.com/IL/Chicago/1937-W-Diversey-Pkwy-60614/unit-3C/home/13039433,MRED,10642299,N,Y,41.9321065,-87.6766923
MLS Listing,,Townhouse,2818 W Dickens Ave,Chicago,IL,60647,575000,3,3.0,Logan Square,2150,3000,2004,3,267,125,Active,,,http://www.redfin.com/IL/Chicago/2818-W-Dickens-Ave-60647/unit-A1/home/18943063,MRED,10642262,N,Y,41.9197323,-87.6979465
MLS Listing,,Condo/Co-op,2430 W Cortez St #3,Chicago,IL,60622,625000,3,2.0,West Town,1500,,2017,3,417,160,Active,,,http://www.redfin.com/IL/Chicago/2430-W-Cortez-St-60622/unit-3/home/128125703,MRED,10642183,N,Y,41.9004365,-87.6882639
MLS Listing,,Condo/Co-op,1610 S Carpenter St Unit 1N,Chicago,IL,60608,589000,3,2.5,Lower West Side,2400,,2017,3,245,271,Active,,,http://www.redfin.com/IL/Chicago/1610-S-Carpenter-St-60608/unit-1N/home/114062223,MRED,10630960,N,Y,41.859419,-87.653747
