Zip Code,City,County,Zip Code Map
61826,Champaign,Champaign,View Map
61830,Cisco,Piatt,View Map
61831,Collison,Vermilion,View Map
61832,Danville,Vermilion,View Map
61833,Tilton,Vermilion,View Map
61834,Danville,Vermilion,View Map
61839,De Land,Piatt,View Map
61840,Dewey,Champaign,View Map
61841,Fairmount,Vermilion,View Map
61842,Farmer City,Dewitt,View Map
61843,Fisher,Champaign,View Map
61844,Fithian,Vermilion,View Map
61845,Foosland,Champaign,View Map
61846,Georgetown,Vermilion,View Map
61847,Gifford,Champaign,View Map
61848,Henning,Vermilion,View Map
61849,Homer,Champaign,View Map
61850,Indianola,Vermilion,View Map
61851,Ivesdale,Champaign,View Map
61852,Longview,Champaign,View Map
61853,Mahomet,Champaign,View Map
61854,Mansfield,Piatt,View Map
61855,Milmine,Piatt,View Map
61856,Monticello,Piatt,View Map
61857,Muncie,Vermilion,View Map
61858,Oakwood,Vermilion,View Map
61859,Ogden,Champaign,View Map
61862,Penfield,Champaign,View Map
61863,Pesotum,Champaign,View Map
61864,Philo,Champaign,View Map
61865,Potomac,Vermilion,View Map
61866,Rantoul,Champaign,View Map
61870,Ridge Farm,Vermilion,View Map
61871,Royal,Champaign,View Map
61872,Sadorus,Champaign,View Map
61873,Saint Joseph,Champaign,View Map
61874,Savoy,Champaign,View Map
61875,Seymour,Champaign,View Map
61876,Sidell,Vermilion,View Map
61877,Sidney,Champaign,View Map
61878,Thomasboro,Champaign,View Map
61880,Tolono,Champaign,View Map
61882,Weldon,Dewitt,View Map
61883,Westville,Vermilion,View Map
61884,White Heath,Piatt,View Map
61910,Arcola,Douglas,View Map
61911,Arthur,Douglas,View Map
61912,Ashmore,Coles,View Map
61913,Atwood,Douglas,View Map
61914,Bethany,Moultrie,View Map
61917,Brocton,Edgar,View Map
61919,Camargo,Douglas,View Map
61920,Charleston,Coles,View Map
61924,Chrisman,Edgar,View Map
61925,Dalton City,Moultrie,View Map
61928,Gays,Moultrie,View Map
61929,Hammond,Piatt,View Map
61930,Hindsboro,Douglas,View Map
61931,Humboldt,Coles,View Map
61932,Hume,Edgar,View Map
61933,Kansas,Edgar,View Map
61936,La Place,Piatt,View Map
61937,Lovington,Moultrie,View Map
61938,Mattoon,Coles,View Map
61940,Metcalf,Edgar,View Map
61941,Murdock,Douglas,View Map
61942,Newman,Douglas,View Map
61943,Oakland,Coles,View Map
61944,Paris,Edgar,View Map
61949,Redmon,Edgar,View Map
61951,Sullivan,Moultrie,View Map
61953,Tuscola,Douglas,View Map
61955,Vermilion,Edgar,View Map
61956,Villa Grove,Douglas,View Map
61957,Windsor,Shelby,View Map
62001,Alhambra,Madison,View Map
62002,Alton,Madison,View Map
62006,Batchtown,Calhoun,View Map
62009,Benld,Macoupin,View Map
62010,Bethalto,Madison,View Map
62011,Bingham,Fayette,View Map
62012,Brighton,Macoupin,View Map
62013,Brussels,Calhoun,View Map
62014,Bunker Hill,Macoupin,View Map
62015,Butler,Montgomery,View Map
62016,Carrollton,Greene,View Map
62017,Coffeen,Montgomery,View Map
62018,Cottage Hills,Madison,View Map
62019,Donnellson,Montgomery,View Map
62021,Dorsey,Madison,View Map
62022,Dow,Jersey,View Map
62023,Eagarville,Macoupin,View Map
62024,East Alton,Madison,View Map
62025,Edwardsville,Madison,View Map
62026,Edwardsville,Madison,View Map
62027,Eldred,Greene,View Map
62028,Elsah,Jersey,View Map
62030,Fidelity,Jersey,View Map
62031,Fieldon,Jersey,View Map
62032,Fillmore,Montgomery,View Map
62033,Gillespie,Macoupin,View Map
62034,Glen Carbon,Madison,View Map
62035,Godfrey,Madison,View Map
62036,Golden Eagle,Calhoun,View Map
62037,Grafton,Jersey,View Map
62040,Granite City,Madison,View Map
62044,Greenfield,Greene,View Map
62045,Hamburg,Calhoun,View Map
62046,Hamel,Madison,View Map
62047,Hardin,Calhoun,View Map
62048,Hartford,Madison,View Map
62049,Hillsboro,Montgomery,View Map
62050,Hillview,Greene,View Map
62051,Irving,Montgomery,View Map
62052,Jerseyville,Jersey,View Map
62053,Kampsville,Calhoun,View Map
62054,Kane,Greene,View Map
62056,Litchfield,Montgomery,View Map
62058,Livingston,Madison,View Map
62059,Lovejoy,Saint Clair,View Map
62060,Madison,Madison,View Map
62061,Marine,Madison,View Map
62062,Maryville,Madison,View Map
62063,Medora,Jersey,View Map
62065,Michael,Calhoun,View Map
62067,Moro,Madison,View Map
62069,Mount Olive,Macoupin,View Map
62070,Mozier,Calhoun,View Map
62071,National Stock Yards,Saint Clair,View Map
62074,New Douglas,Madison,View Map
62075,Nokomis,Montgomery,View Map
62076,Ohlman,Montgomery,View Map
62077,Panama,Montgomery,View Map
62078,Patterson,Greene,View Map
62079,Piasa,Macoupin,View Map
62080,Ramsey,Fayette,View Map
62081,Rockbridge,Greene,View Map
62082,Roodhouse,Greene,View Map
62083,Rosamond,Christian,View Map
62084,Roxana,Madison,View Map
62085,Sawyerville,Macoupin,View Map
62086,Sorento,Bond,View Map
62087,South Roxana,Madison,View Map
62088,Staunton,Macoupin,View Map
62089,Taylor Springs,Montgomery,View Map
62090,Venice,Madison,View Map
62091,Walshville,Montgomery,View Map
62092,White Hall,Greene,View Map
62093,Wilsonville,Macoupin,View Map
62094,Witt,Montgomery,View Map
62095,Wood River,Madison,View Map
62097,Worden,Madison,View Map
62098,Wrights,Greene,View Map
62201,East Saint Louis,Saint Clair,View Map
62202,East Saint Louis,Saint Clair,View Map
62203,East Saint Louis,Saint Clair,View Map
62204,East Saint Louis,Saint Clair,View Map
62205,East Saint Louis,Saint Clair,View Map
62206,East Saint Louis,Saint Clair,View Map
62207,East Saint Louis,Saint Clair,View Map
62208,Fairview Heights,Saint Clair,View Map
62214,Addieville,Washington,View Map
62215,Albers,Clinton,View Map
62216,Aviston,Clinton,View Map
62217,Baldwin,Randolph,View Map
62218,Bartelso,Clinton,View Map
62219,Beckemeyer,Clinton,View Map
62220,Belleville,Saint Clair,View Map
62221,Belleville,Saint Clair,View Map
62222,Belleville,Saint Clair,View Map
62223,Belleville,Saint Clair,View Map
62224,Mascoutah,Saint Clair,View Map
62225,Scott Air Force Base,Saint Clair,View Map
62226,Belleville,Saint Clair,View Map
62230,Breese,Clinton,View Map
62231,Carlyle,Clinton,View Map
62232,Caseyville,Saint Clair,View Map
62233,Chester,Randolph,View Map
62234,Collinsville,Madison,View Map
62236,Columbia,Monroe,View Map
62237,Coulterville,Randolph,View Map
62238,Cutler,Perry,View Map
62239,Dupo,Saint Clair,View Map
62240,East Carondelet,Saint Clair,View Map
62241,Ellis Grove,Randolph,View Map
62242,Evansville,Randolph,View Map
62243,Freeburg,Saint Clair,View Map
62244,Fults,Monroe,View Map
62245,Germantown,Clinton,View Map
62246,Greenville,Bond,View Map
62247,Hagarstown,Fayette,View Map
62248,Hecker,Monroe,View Map
62249,Highland,Madison,View Map
62250,Hoffman,Clinton,View Map
62252,Huey,Clinton,View Map
62253,Keyesport,Clinton,View Map
62254,Lebanon,Saint Clair,View Map
62255,Lenzburg,Saint Clair,View Map
62256,Maeystown,Monroe,View Map
62257,Marissa,Saint Clair,View Map
62258,Mascoutah,Saint Clair,View Map
62259,Menard,Randolph,View Map
62260,Millstadt,Saint Clair,View Map
62261,Modoc,Randolph,View Map
62262,Mulberry Grove,Bond,View Map
62263,Nashville,Washington,View Map
62264,New Athens,Saint Clair,View Map
62265,New Baden,Clinton,View Map
62266,New Memphis,Clinton,View Map
62268,Oakdale,Washington,View Map
62269,O Fallon,Saint Clair,View Map
62271,Okawville,Washington,View Map
62272,Percy,Randolph,View Map
62273,Pierron,Bond,View Map
62274,Pinckneyville,Perry,View Map
62275,Pocahontas,Bond,View Map
62277,Prairie Du Rocher,Randolph,View Map
62278,Red Bud,Randolph,View Map
62279,Renault,Monroe,View Map
62280,Rockwood,Randolph,View Map
62281,Saint Jacob,Madison,View Map
62282,Saint Libory,Saint Clair,View Map
62284,Smithboro,Bond,View Map
62285,Smithton,Saint Clair,View Map
62286,Sparta,Randolph,View Map
62288,Steeleville,Randolph,View Map
62289,Summerfield,Saint Clair,View Map
62292,Tilden,Randolph,View Map
62293,Trenton,Clinton,View Map
62294,Troy,Madison,View Map
62295,Valmeyer,Monroe,View Map
62297,Walsh,Randolph,View Map
62298,Waterloo,Monroe,View Map
62301,Quincy,Adams,View Map
62305,Quincy,Adams,View Map
62306,Quincy,Adams,View Map
62311,Augusta,Hancock,View Map
62312,Barry,Pike,View Map
62313,Basco,Hancock,View Map
62314,Baylis,Pike,View Map
62316,Bowen,Hancock,View Map
62319,Camden,Schuyler,View Map
62320,Camp Point,Adams,View Map
62321,Carthage,Hancock,View Map
62323,Chambersburg,Pike,View Map
62324,Clayton,Adams,View Map
62325,Coatsburg,Adams,View Map
62326,Colchester,Mcdonough,View Map
62329,Colusa,Hancock,View Map
62330,Dallas City,Hancock,View Map
62334,Elvaston,Hancock,View Map
62336,Ferris,Hancock,View Map
62338,Fowler,Adams,View Map
62339,Golden,Adams,View Map
62340,Griggsville,Pike,View Map
62341,Hamilton,Hancock,View Map
62343,Hull,Pike,View Map
62344,Huntsville,Schuyler,View Map
62345,Kinderhook,Pike,View Map
62346,La Prairie,Adams,View Map
62347,Liberty,Adams,View Map
62348,Lima,Adams,View Map
62349,Loraine,Adams,View Map
62351,Mendon,Adams,View Map
62352,Milton,Pike,View Map
62353,Mount Sterling,Brown,View Map
62354,Nauvoo,Hancock,View Map
62355,Nebo,Pike,View Map
62356,New Canton,Pike,View Map
62357,New Salem,Pike,View Map
62358,Niota,Hancock,View Map
62359,Paloma,Adams,View Map
62360,Payson,Adams,View Map
62361,Pearl,Pike,View Map
62362,Perry,Pike,View Map
62363,Pittsfield,Pike,View Map
62365,Plainville,Adams,View Map
62366,Pleasant Hill,Pike,View Map
62367,Plymouth,Hancock,View Map
62370,Rockport,Pike,View Map
62373,Sutter,Hancock,View Map
62374,Tennessee,Mcdonough,View Map
62375,Timewell,Brown,View Map
62376,Ursa,Adams,View Map
62378,Versailles,Brown,View Map
62379,Warsaw,Hancock,View Map
62380,West Point,Hancock,View Map
62401,Effingham,Effingham,View Map
62410,Allendale,Wabash,View Map
62411,Altamont,Effingham,View Map
62413,Annapolis,Crawford,View Map
62414,Beecher City,Effingham,View Map
62417,Bridgeport,Lawrence,View Map
62418,Brownstown,Fayette,View Map
62419,Calhoun,Richland,View Map
62420,Casey,Clark,View Map
62421,Claremont,Richland,View Map
62422,Cowden,Shelby,View Map
62423,Dennison,Clark,View Map
62424,Dieterich,Effingham,View Map
62425,Dundas,Richland,View Map
62426,Edgewood,Effingham,View Map
62427,Flat Rock,Crawford,View Map
62428,Greenup,Cumberland,View Map
62431,Herrick,Shelby,View Map
62432,Hidalgo,Jasper,View Map
62433,Hutsonville,Crawford,View Map
62434,Ingraham,Clay,View Map
62435,Janesville,Cumberland,View Map
62436,Jewett,Cumberland,View Map
62438,Lakewood,Shelby,View Map
62439,Lawrenceville,Lawrence,View Map
62440,Lerna,Coles,View Map
62441,Marshall,Clark,View Map
62442,Martinsville,Clark,View Map
62443,Mason,Effingham,View Map
62444,Mode,Shelby,View Map
62445,Montrose,Effingham,View Map
62446,Mount Erie,Wayne,View Map
62447,Neoga,Cumberland,View Map
62448,Newton,Jasper,View Map
62449,Oblong,Crawford,View Map
62450,Olney,Richland,View Map
62451,Palestine,Crawford,View Map
62452,Parkersburg,Richland,View Map
62454,Robinson,Crawford,View Map
62458,Saint Elmo,Fayette,View Map
62459,Sainte Marie,Jasper,View Map
62460,Saint Francisville,Lawrence,View Map
62461,Shumway,Effingham,View Map
62462,Sigel,Shelby,View Map
62463,Stewardson,Shelby,View Map
62464,Stoy,Crawford,View Map
62465,Strasburg,Shelby,View Map
62466,Sumner,Lawrence,View Map
62467,Teutopolis,Effingham,View Map
62468,Toledo,Cumberland,View Map
62469,Trilla,Coles,View Map
62471,Vandalia,Fayette,View Map
62473,Watson,Effingham,View Map
62474,Westfield,Clark,View Map
62475,West Liberty,Jasper,View Map
62476,West Salem,Edwards,View Map
62477,West Union,Clark,View Map
62478,West York,Crawford,View Map
62479,Wheeler,Jasper,View Map
62480,Willow Hill,Jasper,View Map
62481,Yale,Jasper,View Map
62501,Argenta,Macon,View Map
62510,Assumption,Christian,View Map
62512,Beason,Logan,View Map
62513,Blue Mound,Macon,View Map
62514,Boody,Macon,View Map
62515,Buffalo,Sangamon,View Map
62517,Bulpitt,Christian,View Map
62518,Chestnut,Logan,View Map
62519,Cornland,Logan,View Map
62520,Dawson,Sangamon,View Map
62521,Decatur,Macon,View Map
62522,Decatur,Macon,View Map
62523,Decatur,Macon,View Map
62524,Decatur,Macon,View Map
